classe,variance
Normal,3991.317241442066
Normal,3571.3624832205555
Normal,5323.9037872909785
Normal,5250.092630178525
Normal,4508.4524110468565
Normal,3122.2950518423136
Normal,4041.8418606150726
Normal,3861.757765428207
Normal,3536.3127311374064
Normal,3848.6863958402446
Normal,3771.3849125562724
Normal,3944.253398826884
Normal,2245.13167395257
Normal,4118.15192938292
Normal,5151.713699999841
Normal,4859.713046338204
Normal,4015.4676537608466
Normal,2306.0722796145737
Normal,4056.980241590698
Normal,2077.648397182426
Normal,5000.7832881908835
Normal,2019.4865099996152
Normal,2184.0421026515323
Normal,3331.2446659658076
Normal,4621.506586386606
Normal,1991.3788248730955
Normal,4369.695280361767
Normal,3122.025354339722
Normal,1525.6243016559868
Normal,4508.319684028519
Normal,4493.102460105781
Normal,4293.040452191606
Normal,1801.4960749035718
Normal,4948.017226790814
Normal,2694.901943367369
Normal,2816.589698340083
Normal,1801.759042101146
Normal,4582.179723142767
Normal,4622.967314868341
Normal,3745.575438463486
Normal,1134.0627997957217
Normal,4686.419665189186
Normal,3283.5225540350807
Normal,4591.00775816928
Normal,3627.5516572574475
Normal,4131.501879550025
Normal,3758.4709594803003
Normal,5030.41394630497
Normal,5167.237295283791
Normal,1029.4584998171722
Normal,4152.371011326417
Normal,3286.7139925595716
Normal,3356.7568461844994
Normal,2711.7106507614685
Normal,3283.666336531057
Normal,4189.343225564655
Normal,4455.213019329076
Normal,4827.519704840279
Normal,2096.4040244663684
Normal,1444.5782489823412
Normal,5114.2879167813
Normal,5766.838344738616
Normal,3526.3020374854723
Normal,4038.7662556757605
Normal,1621.3277380427198
Normal,5106.008141701357
Normal,3872.351372269553
Normal,4789.065315994329
Normal,4085.396432776855
Normal,4748.951058461806
Normal,2977.550984742726
Normal,4640.442743450123
Normal,4394.553052859931
Normal,2507.2867123706314
Normal,3691.604653560192
Normal,5565.198216342572
Normal,4701.472004795338
Normal,5018.152399364999
Normal,4228.066705346483
Normal,5334.537258505078
Normal,4135.299544274556
Normal,5191.369917424064
Normal,2604.384508174501
Normal,1462.4078771085342
Normal,4121.966189078248
Normal,2019.683000660856
Normal,3946.7638224486614
Normal,4840.206774911095
Normal,4383.402594556638
Normal,4121.31579101908
Normal,5411.0157554822235
Normal,3867.0272570781863
Normal,3000.5688209200102
Normal,4701.618302948293
Normal,3506.8375658874706
Normal,4480.3234152622035
Normal,3946.6252779118668
Normal,2454.958209250988
Normal,3573.4117254500648
Normal,4816.87913880895
Normal,4024.479146778182
Normal,4639.592517142164
Normal,4950.089819536929
Normal,4754.541731229063
Normal,3931.035242863377
Normal,3796.7351797085134
Normal,1923.6788611761663
Normal,2466.5441568848505
Normal,1425.6836653682954
Normal,1252.9269852464242
Normal,4393.033180740888
Normal,5368.606701944492
Normal,2846.250785772069
