Latent PC1,Latent PC2,Latent PC3,score,path,label
6.3571606,-0.37977803,1.1570201,0.0009402039,./data/Normal/Normal-836.png,Normal
2.5879896,2.2391188,-1.6967492,0.00069249736,./data/Normal/Normal-3185.png,Normal
4.963861,2.7680414,2.7370155,0.0013491266,./data/Normal/Normal-5127.png,Normal
7.2046247,3.3192747,-3.457603,0.00060242263,./data/Normal/Normal-3172.png,Normal
4.0941353,2.4003725,0.6718884,0.0006995729,./data/Normal/Normal-7275.png,Normal
2.915563,0.8356648,-0.032301288,0.0013744608,./data/Normal/Normal-1414.png,Normal
-0.2861582,0.42820066,-2.591558,0.0005644387,./data/Normal/Normal-7982.png,Normal
-1.2861195,2.0002751,-0.2987294,0.00084799435,./data/Normal/Normal-6487.png,Normal
6.0183935,-3.5942764,-1.5685205,0.0015536486,./data/Normal/Normal-642.png,Normal
8.563817,-3.354643,-0.10025815,0.0013375793,./data/Normal/Normal-624.png,Normal
1.7774576,-1.291543,-0.66992056,0.0014193996,./data/Normal/Normal-802.png,Normal
-5.166764,2.0269778,-2.2124963,0.0011676622,./data/Normal/Normal-5620.png,Normal
-0.0043689115,3.0309277,-0.21209937,0.0005316915,./data/Normal/Normal-5783.png,Normal
-1.7527122,-4.013198,-2.0511596,0.0007879926,./data/Normal/Normal-2371.png,Normal
3.0483139,2.3352733,-3.3518672,0.00067661254,./data/Normal/Normal-3483.png,Normal
-0.8080922,3.9069188,-0.44693112,0.00066884,./data/Normal/Normal-12.png,Normal
3.2679882,3.2939405,3.0670288,0.00029626256,./data/Normal/Normal-6136.png,Normal
1.9559145,2.4055395,-1.6369271,0.00062976993,./data/Normal/Normal-8885.png,Normal
-5.8312616,-2.7928984,1.417159,0.00058224343,./data/Normal/Normal-3991.png,Normal
-4.9712734,2.6154027,-3.7180836,0.00060608576,./data/Normal/Normal-8118.png,Normal
2.9484324,5.30469,-3.0147352,0.0007021667,./data/Normal/Normal-6009.png,Normal
5.361022,4.7005816,-0.70826626,0.0008146908,./data/Normal/Normal-7248.png,Normal
-2.631679,3.4019845,-1.7936871,0.00045674178,./data/Normal/Normal-2921.png,Normal
2.3049889,3.4218554,-1.8213825,0.00053979934,./data/Normal/Normal-7758.png,Normal
-2.1081355,2.1404176,1.5444847,0.0006213634,./data/Normal/Normal-4078.png,Normal
