PC1,PC2,PC3,score,path,label,size_score
510.54626,104.7883,207.39384,-0.12124331781121067,./data/Normal/Normal-836.png,Normal,0.6527302864258312
-24.91596,392.49734,-94.43077,-0.15047830605570495,./data/Normal/Normal-3185.png,Normal,0.3541080006817313
-9.818176,-163.21246,43.532127,-0.10990964818525278,./data/Normal/Normal-5127.png,Normal,0.7684986356814328
-47.770634,432.83466,67.308624,-0.1468618675217105,./data/Normal/Normal-3172.png,Normal,0.3910482974331025
24.49939,457.85367,16.593729,-0.14276111024438415,./data/Normal/Normal-7275.png,Normal,0.43293569281002947
62.413902,-21.27114,306.0535,-0.1373907482544504,./data/Normal/Normal-1414.png,Normal,0.4877915305923233
-135.61139,299.95663,-85.814095,-0.14749098944493877,./data/Normal/Normal-7982.png,Normal,0.3846220993051955
18.821657,179.68752,-105.28163,-0.15034291432976782,./data/Normal/Normal-6487.png,Normal,0.3554909664052697
629.2935,68.49692,309.47214,-0.1353576626553562,./data/Normal/Normal-642.png,Normal,0.508558587641825
715.01605,73.5006,197.03766,-0.14431279317606766,./data/Normal/Normal-624.png,Normal,0.41708594797913495
480.1373,181.25787,58.4073,-0.15930714451893802,./data/Normal/Normal-802.png,Normal,0.2639253777127412
-59.291965,-19.809145,216.12497,-0.14142136096402702,./data/Normal/Normal-5620.png,Normal,0.4466206304976512
-202.65611,265.29877,-107.78444,-0.15708854544496847,./data/Normal/Normal-5783.png,Normal,0.28658737165909753
-46.362434,-3.0347188,-183.03203,-0.1665818729730955,./data/Normal/Normal-2371.png,Normal,0.18961729108105688
-182.98285,-18.841028,9.753825,-0.1231936294456974,./data/Normal/Normal-3483.png,Normal,0.6328087282800563
-215.91042,263.3368,-146.75113,-0.15902694058299593,./data/Normal/Normal-12.png,Normal,0.2667875351771375
-99.00513,26.000143,43.491287,-0.16065594827987317,./data/Normal/Normal-6136.png,Normal,0.2501479525692045
-203.57114,420.24023,-82.45541,-0.15274868090873572,./data/Normal/Normal-8885.png,Normal,0.3309171403865965
-44.217487,66.341064,-141.58159,-0.14850244901831322,./data/Normal/Normal-3991.png,Normal,0.3742904936547053
-280.40546,-39.00631,116.15288,-0.15105714489709465,./data/Normal/Normal-8118.png,Normal,0.34819542167031975
-246.95569,387.87595,149.11774,-0.14527728151506952,./data/Normal/Normal-6009.png,Normal,0.4072341324094636
-19.202501,164.90552,329.28546,-0.15331283146913977,./data/Normal/Normal-7248.png,Normal,0.32515459557410126
-273.0837,131.076,105.4419,-0.14424111073676638,./data/Normal/Normal-2921.png,Normal,0.4178181519291705
-221.18213,100.086075,-42.72215,-0.1507822506093892,./data/Normal/Normal-7758.png,Normal,0.3510033434606784
-190.2546,245.61426,-30.358583,-0.15484193568102816,./data/Normal/Normal-4078.png,Normal,0.30953548223373456
-199.6818,89.43413,-267.56363,-0.17122352415001968,./data/Normal/Normal-5974.png,Normal,0.14220490724536555
580.8623,12.859459,121.87895,-0.13322541255277714,./data/Normal/Normal-1029.png,Normal,0.530338565594447
-128.55144,310.79108,78.720245,-0.16504714219596528,./data/Normal/Normal-2659.png,Normal,0.20529387726045306
-107.3018,-94.79459,-51.062572,-0.16496402094847157,./data/Normal/Normal-3041.png,Normal,0.20614292350301988
-167.69038,274.02618,-88.62534,-0.12591983571950333,./data/Normal/Normal-5717.png,Normal,0.6049617545756236
-215.46404,-20.011917,-33.815945,-0.15648512780630353,./data/Normal/Normal-4950.png,Normal,0.2927510120549636
-134.60529,-178.91443,-57.11064,-0.1518735691983643,./data/Normal/Normal-8770.png,Normal,0.3398560138024856
-280.38156,277.07513,72.32022,-0.1373965292439731,./data/Normal/Normal-6687.png,Normal,0.48773248037856254
-72.21855,10.828489,-116.37997,-0.15248946809747893,./data/Normal/Normal-7681.png,Normal,0.33356488293208
-100.53442,128.91136,-66.754845,-0.16044374519952853,./data/Normal/Normal-4076.png,Normal,0.2523155118089928
-231.40353,-129.62273,26.65455,-0.1727995091954479,./data/Normal/Normal-9571.png,Normal,0.12610692722811945
500.65527,99.820786,64.12997,-0.16186375487776788,./data/Normal/Normal-114.png,Normal,0.237810750173782
