AE 1,AE 2,AE 3,label
-0.3664479,-2.1023006,1.6632628,Normal
-0.31729174,-0.24232627,0.69879824,Normal
0.76558226,1.5089899,2.172662,Normal
-1.4774888,-0.31612903,-0.45253137,Normal
-0.3749032,-0.49246484,1.8534938,Normal
-1.6946043,-0.49077934,1.3018875,Normal
1.156943,-0.01078783,0.59169364,Normal
1.6917998,-0.8224981,0.9832719,Normal
0.29533544,0.40531474,0.78352755,Normal
-0.5798114,1.2441679,0.9989937,Normal
-1.4973105,-1.7538927,0.9853291,Normal
-0.3314628,0.288334,2.3437757,Normal
1.2621502,1.7404642,1.7890627,Normal
-0.67130595,-2.6791408,2.3271048,Normal
-1.4298427,-0.96838325,1.5611998,Normal
2.5165613,-0.1528835,1.1280327,Normal
1.541777,-0.67517,0.38621408,Normal
2.5009696,-1.0650192,1.07054,Normal
-0.19181637,0.23630828,1.1769332,Normal
1.8927282,-1.1318344,1.5035928,Normal
1.2831453,0.008254737,1.3703058,Normal
-0.544615,-1.1478022,0.80794114,Normal
0.048456423,-2.4679663,1.8026413,Normal
-0.9605722,-2.2574291,1.7092434,Normal
-0.96849793,-1.1875323,0.3330457,Normal
0.016921427,-0.7547788,-0.6014529,Normal
-1.3616432,-1.4439877,0.76897687,Normal
1.9693967,-0.7456751,1.359175,Normal
-0.6150596,-2.2383835,1.3291732,Normal
-0.21373801,-0.060258217,0.2379413,Normal
-1.8907647,1.3852061,0.15381253,Normal
0.550074,1.3831306,2.915247,Normal
-0.24547459,0.17510127,0.5631725,Normal
0.044762786,-2.6766498,0.44204998,Normal
1.3463998,0.5635668,1.2895672,Normal
-0.9405121,-1.1506473,1.2297245,Normal
1.4624989,-1.0911995,0.9587633,Normal
-1.2199284,-2.549281,1.7512068,Normal
-1.7689275,2.1163824,1.3701878,Normal
-2.038521,-1.3872691,0.2908187,Normal
-1.2100066,-1.9242488,2.2892976,Normal
1.8556587,-1.29835,1.2014364,Normal
-1.6009078,-0.578945,1.0918102,Normal
-1.625201,2.306229,1.60718,Normal
-0.9479891,-0.3462202,0.39931655,Normal
-1.288695,0.46495295,1.7416031,Normal
