count,list
7,"['COVID-2807', 'COVID-2808', 'COVID-2809', 'COVID-2810', 'COVID-2811', 'COVID-2812', 'COVID-2813']"
5,"['COVID-2715', 'COVID-2716', 'COVID-2717', 'COVID-2718', 'COVID-2719']"
5,"['COVID-3140', 'COVID-3141', 'COVID-3142', 'COVID-3143', 'COVID-3144']"
4,"['COVID-3373', 'COVID-3374', 'COVID-3375', 'COVID-3376']"
3,"['COVID-2419', 'COVID-2420', 'COVID-2421']"
3,"['COVID-2772', 'COVID-2773', 'COVID-2774']"
2,"['COVID-2416', 'COVID-2418']"
2,"['COVID-3298', 'COVID-3299']"
2,"['COVID-2431', 'COVID-2432']"
2,"['COVID-137', 'COVID-139']"
2,"['Viral Pneumonia-1052', 'Viral Pneumonia-1053']"
2,"['COVID-3547', 'COVID-3548']"
2,"['COVID-2822', 'COVID-2823']"
2,"['COVID-2945', 'COVID-2946']"
2,"['COVID-49', 'COVID-52']"
2,"['COVID-3590', 'COVID-3591']"
2,"['COVID-2458', 'COVID-2459']"
2,"['Viral Pneumonia-249', 'Viral Pneumonia-250']"
2,"['Viral Pneumonia-74', 'Viral Pneumonia-75']"
2,"['COVID-2666', 'COVID-2667']"
2,"['COVID-2677', 'COVID-2678']"
2,"['COVID-3573', 'COVID-3574']"
2,"['COVID-3211', 'COVID-3212']"
2,"['COVID-2492', 'COVID-2493']"
2,"['COVID-3426', 'COVID-3427']"
2,"['Viral Pneumonia-953', 'Viral Pneumonia-954']"
2,"['COVID-18', 'COVID-21']"
2,"['COVID-277', 'COVID-280']"
2,"['COVID-3598', 'COVID-3599']"
2,"['COVID-2422', 'COVID-2423']"
2,"['COVID-3222', 'COVID-3223']"
2,"['Viral Pneumonia-294', 'Viral Pneumonia-295']"
2,"['COVID-319', 'COVID-321']"
2,"['COVID-3488', 'COVID-3489']"
2,"['Viral Pneumonia-595', 'Viral Pneumonia-596']"
2,"['COVID-2084', 'COVID-2085']"
2,"['COVID-3402', 'COVID-3403']"
2,"['COVID-2804', 'COVID-2805']"
2,"['Normal-817', 'Normal-818']"
2,"['Viral Pneumonia-117', 'Viral Pneumonia-118']"
2,"['COVID-3207', 'COVID-3208']"
2,"['COVID-2941', 'COVID-2942']"
2,"['COVID-3428', 'COVID-3429']"
2,"['COVID-3515', 'COVID-3516']"
